poprvé	zum ersten Mal	11 11-29 vorgefertigt
kuchařka	Köchin // Kochbuch	11 11-30 vorgefertigt
metr	Meter	11 11-31 vorgefertigt
litr	Liter	11 11-32 vorgefertigt
hrnek	Becher	11 11-33 vorgefertigt
láhev	Flasche	11 11-34 vorgefertigt
lžíce	Löffel	11 11-35 vorgefertigt
lžička	Teelöffel	11 11-36 vorgefertigt
látka	Stoff	11 11-37 vorgefertigt
cibule	Zwiebel	11 11-38 vorgefertigt
moc	viel // eine Menge	11 11-39 vorgefertigt
spousta	viel // eine Menge	11 11-40 vorgefertigt
najednou	auf einmal	11 11-43 vorgefertigt
volat, zavolat	rufen, anrufen	11 11-44 vorgefertigt
vařit	kochen	11 11-46 vorgefertigt
těsto	Teig	11 11-47 vorgefertigt
šlehačka	Schlagobers	11 11-48 vorgefertigt
Čí je to?	Wessen ist das? // Wem gehört das?	11 11-49 vorgefertigt
Vídeň	Wien	11 11-50 vorgefertigt
ve Vídni	in Wien	11 11-51 vorgefertigt
Slovensko	Slowakei	11 11-52 vorgefertigt
Španělsko	Spanien	11 11-53 vorgefertigt
Polsko	Polen	11 11-54 vorgefertigt
Francie	Frankreich	11 11-55 vorgefertigt
Maďarsko	Ungarn	11 11-56 vorgefertigt
Rusko	Russland	11 11-57 vorgefertigt
Slovinsko	Slowenien	11 11-59 vorgefertigt
Lichtenštejnsko	Liechtenstein	11 11-60 vorgefertigt
Švýcarsko	Schweiz	11 11-61 vorgefertigt
Itálie	Italien	11 11-62 vorgefertigt
písnička	Lied	11 11-63 vorgefertigt
báseň	Gedicht	11 11-64 vorgefertigt
jarní, -í,-í	Frühlings-	12 12-1 vorgefertigt
malovat/ vymalovat	malen // ausmalen // (Wohnung)	12 12-2 vorgefertigt
mýt*/umýt* // myju, myješ, myje, // myjeme,myjete, myjou // \textbf{myl/ umyl}	waschen	12 12-3 vorgefertigt
luxovat/ vyluxovat	Staub saugen	12 12-4 vorgefertigt
prát*/ vyprat* // peru, pereš, pere, pereme, // perete, perou // pral/ vypral	Wäsche waschen	12 12-5 vorgefertigt
žehlit/ vyžehlit	bügeln	12 12-6 vorgefertigt
kupovat/ koupit	kaufen	12 12-7 vorgefertigt
dělat/ udělat	mache	12 12-8 vorgefertigt
opravovat/ opravit	reparieren	12 12-9 vorgefertigt
uklízet/ uklidit	aufräumen	12 12-10 vorgefertigt
jíst*/ sníst* // jím, jíš, jí // jíme, jíte, jí // \textbf{jedl/ snědl}	essen	12 12-11 vorgefertigt
ztrácet/ ztratit	verlieren	12 12-12 vorgefertigt
dávat/ dát	geben	12 12-13 vorgefertigt
dostávat/ dostat	bekommen	12 12-14 vorgefertigt
prodávat/ prodat	verkaufen	12 12-15 vorgefertigt
